latitude,longitude,altitude,geometry,HID,Type,Kodomo,Name,Label,AgeS,AgeE,Full,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Add1,Add2,TEL,FAX,Owner,Ownership,Proof,Shanai,Y,X,url,Vacancy,VacancyDate
26.179199,127.679588,,,,小規模,,なごみ保育園,なごみ保育園,0,2,19,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市宜保121-3,,098-856-5100,,,,,null,,,http://nagomihoikuen.ti-da.net/,,
26.158533,127.662544,,,,小規模,,あいあい保育園まぁ～る,あいあい保育園まぁ～る,0,2,18,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市豊崎1-456,,098-850-7673,,,,,null,,,http://www.localplace.jp/t100071880/,,
26.177855,127.66996,,,,小規模,,あおいそら保育園,あおいそら保育園,0,2,18,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市我那覇545-1,,098-856-8600,,,,,null,,,,,
26.17366,127.672279,,,,小規模,,ファミリーキッズ,ファミリーキッズ,0,2,11,7:30,18:30,null,,null,null,null,null,沖縄県豊見城市伊良波196-3,,090-4471-3841,,,,,null,,,,,
26.166731,127.695282,,,,事業所,,さくらの子,さくらの子,0,2,5,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市高嶺111,,098-850-7756,,,,,Y,,,,,
26.166365,127.697075,,,,事業所,,さくらの子２号館,さくらの子２号館,0,2,4,7:15,18:15,null,,null,null,null,null,沖縄県豊見城市高嶺395-44,,098-996-2531,,,,,Y,,,,,
26.174295,127.678368,,,,認可外,,うえた保育園,うえた保育園,0,4,,7:30,18:30,null,,null,null,null,null,沖縄県豊見城市上田121-1,,098-856-4905,,,,,null,,,,,
26.181871,127.669464,,,,認可外,,しばみつ保育園,しばみつ保育園,0,5,,7:30,18:30,null,,Y,null,null,null,沖縄県豊見城市我那覇199,,098-850-1178,,,,,null,,,http://www.kidslink.jp/sibamitu/,,
26.193016,127.692528,,,,認可外,,スマイル保育園,スマイル保育園,0,5,,7:30,18:30,null,,null,null,null,null,沖縄県豊見城市真玉橋135,2階,098-856-8555,,,,,null,,,,,
26.166365,127.697075,,,,認可外,,託児所はっぴぃ,託児所はっぴぃ,0,4,,7:30,18:30,null,,Y,Y,null,null,沖縄県豊見城市高嶺408-8,L87,098-856-1641,,,,,null,,,,,
26.1756,127.683922,,,,認可外,,にじの丘保育園,にじの丘保育園,0,5,,7:00,19:00,null,,Y,Y,null,null,沖縄県豊見城市上田531-4,,098-856-5687,,,,,null,,,,,
26.182747,127.676247,,,,認可外,,のぞみ保育園,のぞみ保育園,1,4,,7:30,18:30,null,,null,null,null,null,沖縄県豊見城市豊見城423-2,,098-850-4444,,,,,null,,,,,
26.179499,127.67511,,,,認可外,,平和台幼児園,平和台幼児園,3,5,,7:30,19:00,null,,Y,null,null,null,沖縄県豊見城市宜保387-8,,098-856-0071,,,,,null,,,,,
26.16692,127.692467,,,,認可外,,保育園ちびっこはうす,保育園ちびっこはうす,2,4,,8:00,18:00,null,,null,null,null,null,沖縄県豊見城市高嶺83-3,,098-850-6801,,,,,null,,,,,
26.176188,127.674835,,,,認可外,,みのり保育園,みのり保育園,0,4,,7:30,19:00,null,,null,null,null,null,沖縄県豊見城市宜保267,,098-850-8822,,,,,null,,,http://minori.yuisen.com/,,
26.179789,127.67421,,,,認可外,,夢の子ベビーハウス,夢の子ベビーハウス,0,5,,7:30,19:00,null,,null,null,null,null,沖縄県豊見城市宜保414-39,,098-850-6459,,,,,null,,,,,
26.185429,127.679375,,,,認可外,,豊見城自治会幼児園,豊見城自治会幼児園,2,4,,8:30,13:00,null,,null,null,null,null,沖縄県豊見城市豊見城150,,098-850-0783,,,,,null,,,,,
26.158804,127.676025,,,,認可外,,翁長自治会幼児園,翁長自治会幼児園,2,4,,8:00,18:30,null,,null,Y,null,null,沖縄県豊見城市翁長219,,098-850-2446,,,,,null,,,,,
26.187099,127.697556,,,,認可外,,豊見城ニュータウン自治会幼児園,豊見城ニュータウン自治会幼児園,2,4,,8:15,14:00,null,,null,null,null,null,沖縄県豊見城市根差部66-5,,098-850-8183,,,,,null,,,,,
26.180405,127.668823,,,,認可外,,我那覇自治会幼児園,我那覇自治会幼児園,2,4,,8:30,17:30,null,,null,null,null,null,沖縄県豊見城市我那覇31,,098-850-8006,,,,,null,,,,,
26.18313,127.681595,,,,認可外,,ｉａｃインターナショナルキッズアカデミー,ｉａｃインターナショナルキッズアカデミー,2,6,,9:00,16:00,null,,null,null,null,null,沖縄県豊見城市豊見城566-8,2階,098-852-2669,,,,,null,26.18313,127.681595,http://www.go2iac.com/,,
26.179077,127.684715,,,,認可外,,ちゅーりっぷ保育園,ちゅーりっぷ保育園,0,6,,7:00,19:00,null,,Y,null,null,null,沖縄県豊見城市高安66,,098-850-6061,,,,,null,26.179077,127.684715,,,
26.158533,127.662544,,,,認可外,,保育所ちびっこランド豊崎園,保育所ちびっこランド豊崎園,0,5,,7:30,18:00,null,,Y,Y,null,null,沖縄県豊見城市豊崎1-1183,103,098-856-0765,,,,,null,26.158533,127.662544,,,
26.158533,127.662544,,,,認可外,,みやび保育園,みやび保育園,0,5,,7:30,18:00,null,,Y,Y,null,null,沖縄県豊見城市豊崎1-445,グランバレー豊崎101,098-856-3812,,,,,null,26.158533,127.662544,,,
26.158533,127.662544,,,,認可外,,あいあい保育園まぁ～る,あいあい保育園まぁ～る,0,3,,7:30,18:00,null,,Y,Y,null,null,沖縄県豊見城市豊崎1-870,,098-850-7673,,,,,null,26.158533,127.662544,,,
26.158533,127.662544,,,,認可外,,E・R・F(株)きのこ保育園,E・R・F(株)きのこ保育園,0,5,,7:30,18:00,null,,Y,Y,null,null,沖縄県豊見城市豊崎1-455,,098-851-4642,,,,,null,26.158533,127.662544,http://www.kinokohoikuen.com/,,
26.182697,127.708336,,,,認可外,,みやびか保育園,みやびか保育園,0,5,,7:00,19:00,null,,Y,Y,null,null,沖縄県豊見城市長堂160-32,,098-856-6806,,,,,null,26.182697,127.708336,,,
26.177855,127.66996,,,,認可外,,あおいそら保育園,あおいそら保育園,0,5,,7:00,18:00,null,,Y,Y,null,null,沖縄県豊見城市我那覇545-1,,098-856-8600,,,,,null,26.177855,127.66996,,,
